更新时间,#genre#
2025-11-11,url
12:57:20,url
央视频道,#genre#
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8926&tk=b53028476470
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=d46a7802f5e358560129ef9519cb7db38f9f355847dd255fb5ac47a4bf8e3c6b5b980b45749fb1cb373b654d43a6fc41c66a124ad66ee40a80f07e155334fe6f023993dc3f284f86ab66653797
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=b0831136e327a93587e1920b5595d227c66a7f1a6aabb8e7532bc0682db88a37af6a27b88fde476a02c5f83db38f3b3e864bcf981c57f7fed9877095a1e2fac1a149f0f8869c5c1dc147bee7be
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=2a6c4fb9cc8f7f2e3b74e061cd6015c3fac382e2bed56fc0e7ec642cda0243f33539c8b831a81a788ef263a552c1fc2e83f85c3aca1c5ac20b670cab6b54dd26fb6cfd1adfd5a289207103e06b
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
CCTV1,http://171.116.216.113:10010/rtp/226.0.1.157:3086
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV1,http://1.58.246.183:4000/rtp/229.58.190.72:5000
CCTV1,http://1.58.246.183:4001/rtp/229.58.190.72:5000
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV1,http://111.221.137.155:44330/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://1.58.246.183:4000/rtp/229.58.190.151:5000
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV1,http://113.106.171.234:8899/rtp/239.20.0.104:2006
CCTV1,http://113.106.171.234:8899/rtp/239.20.0.96:3016
CCTV1,http://58.32.32.87:4022/udp/239.45.3.145:5140
CCTV1,http://1.58.246.183:4001/rtp/229.58.190.151:5000
